Check,Date,Holiday,,,,,,,
TRUE,9/27,National Corned Beef Hash Day,,,,,,,
TRUE,11/9,National Scrapple Day,,,,,,,
TRUE,12/12,National Ambrosia Day,,,,,,,
TRUE,12/24,National Eggnog Day,,,,,,,
TRUE,1/2,National Cream Puff Day,,,,,,,
TRUE,1/10,National Oysters Rockefeller Day,,,,,,,
TRUE,1/12,National Marzipan Day,,,,,,,
FALSE,1/13,National Peach Melba Day,,,,,,,
TRUE,1/16,National Fig Newton Day,,,,,,,
TRUE,1/20,National Buttercrunch Day,,,,,,,
TRUE,1/26,National Peanut Brittle Day,,,,,,,
TRUE,2/12,National Plum Pudding Day,,,,,,,
TRUE,2/28,National Chocolate Souffle Day,,,,,,,
FALSE,3/13,National Coconut Torte Day,,,,,,,
TRUE,3/19,National Corn Dog Day,,,,,,,
TRUE,3/23,National Chia Day,,,,,,,
TRUE,3/25,National Lobster Newburg Day,,,,,,,
FALSE,3/26,National Nougat Day,,,,,,,
TRUE,3/28,Eat an Eskimo Pie Day,,,,,,,
TRUE,4/5,National Raisin and Spice Bar Day,,,,,,,
FALSE,4/9,National Chinese Almond Cookie Day,,,,,,,
TRUE,4/24,National Pigs in a Blanket Day,,,,,,,
FALSE,4/27,National Devil Dog Day,,,,,,,
FALSE,5/1,National Chocolate Parfait Day,,,,,,,
TRUE,5/14,Stamp Out Hunger Food Drive Day,,,,,,,
TRUE,5/16,National Coquille Saint Jacques Day,,,,,,,
FALSE,5/17,National Cherry Cobbler Day,,,,,,,
FALSE,5/18,National Cheese Souffle Day,,,,,,,
TRUE,5/19,National Devil's Food Cake Day,,,,,,,
FALSE,5/20,National Quiche Lorraine Day,,,,,,,
FALSE,5/24,National Escargot Day,,,,,,,
FALSE,5/28,National Italian Beef Day,,,,,,,
FALSE,5/31,National Macaroon Day,,,,,,,
FALSE,6/1,National Hazelnut Cake Day,,,,,,,
FALSE,6/3,National Chocolate Macaroon Day,,,,,,,
FALSE,6/5,Sausage Roll Day,,,,,,,
TRUE,6/6,National Applesauce Cake Day,,,,,,,
TRUE,6/10,National Black Cow Day,,,,,,,
FALSE,6/11,National German Chocolate Cake Day,,,,,,,
TRUE,6/12,National Peanut Butter Cookie Day,,,,,,,
FALSE,6/17,National Apple Strudel Day,,,,,,,
FALSE,6/17,National Cherry Tart Day,,,,,,,
FALSE,6/17,National Stewarts Root Beer Day,,,,,,,
FALSE,6/18,National Cherry Tart Day,,,,,,,
TRUE,6/20,National Ice Cream Soda Day,,,,,,,
FALSE,6/20,National Kouign Amann Day,,,,,,,
FALSE,6/21,National Cherry Tart Day,,,,,,,
TRUE,6/22,National Chocolate Eclair Day,,,,,,,
TRUE,6/24,National Pralines Day,,,,,,,
FALSE,6/25,National Catfish Day,,,,,,,
TRUE,6/27,National Ice Cream Cake Day,,,,,,,
TRUE,6/27,National Indian Pudding Day,,,,,,,
TRUE,6/27,National Orange Blossom Day,,,,,,,
TRUE,6/29,National Almond Buttercrunch Day,,,,,,,
TRUE,7/4,National Jackfruit Day,,,,,,,
TRUE,7/5,National Apple Turnover Day,,,,,,,
TRUE,7/9,National Sugar Cookie Day,,,,,,,
TRUE,7/11,National Mojito Day,,,,,,,
TRUE,7/12,National Pecan Pie Day,,,,,,,
FALSE,7/13,National Beef Tallow Day,,,,,,,
FALSE,7/16,National Strawberry Rhubarb Wine Day,,,,,,,
TRUE,7/18,National Caviar Day,,,,,,,
TRUE,7/18,National Sour Candy Day,,,,,,,
TRUE,7/19,National Daiquiri Day,,,,,,,
FALSE,7/19,National Raspberry Cake Day,,,,,,,
TRUE,7/20,National Fortune Cookie Day,,,,,,,
TRUE,7/20,National Hot Dog Day,,,,,,,
FALSE,7/21,National Lamington Day,,,,,,,
TRUE,7/23,National Hot Dog Day,,,,,,,
TRUE,7/23,Peanut Butter and Chocolate Day,,,,,,,
TRUE,7/25,National Hot Fudge Sundae Day,,,,,,,
TRUE,7/29,National Chicken Wing Day,,,,,,,
TRUE,7/29,National Lasagna Day,,,,,,,
FALSE,7/31,National Raspberry Cake Day,,,,,,,
TRUE,8/1,Albarino Day,,,,,,,
TRUE,8/1,Homemade Pie Day,,,,,,,
FALSE,8/1,National Raspberry Cream Pie Day,,,,,,,
FALSE,8/5,National Couscous Day,,,,,,,
TRUE,8/6,Mead Day,,,,,,,
FALSE,8/6,National Jamaican Patty Day,,,,,,,
FALSE,8/6,National Root Beer Float Day,,,,,,,
FALSE,8/7,National Raspberries 'n' Cream Day,,,,,,,
TRUE,8/8,National Frozen Custard Day,,,,,,,
FALSE,8/8,National Mochi Day,,,,,,,
TRUE,8/8,Sneak Some Zucchini Onto Your Neighbor's Porch Day,,,,,,,
FALSE,8/9,National Rice Pudding Day,,,,,,,
TRUE,8/10,National S'mores Day,,,,,,,
FALSE,8/11,National Bakewell Tart Day,,,,,,,
FALSE,8/11,National Fufu Day,,,,,,,
FALSE,8/11,National Raspberry Bombe Day,,,,,,,
FALSE,8/12,National Gooey Butter Cake Day,,,,,,,
FALSE,8/15,National Lemon Meringue Pie Day,,,,,,,
TRUE,8/16,National Rum Day,,,,,,,
TRUE,8/18,National Fajita Day,,,,,,,
FALSE,8/18,National Ice Cream Pie Day,,,,,,,
TRUE,8/18,Pinot Noir Day,,,,,,,
TRUE,8/19,Kool Aid Day,,,,,,,
TRUE,8/19,National Potato Day,,,,,,,
TRUE,8/19,National Soft Ice Cream Day,,,,,,,
TRUE,8/20,National Chocolate Pecan Pie Day,,,,,,,
TRUE,8/20,World Honey Bee Day,,,,,,,
FALSE,8/21,National Spumoni Day,,,,,,,
FALSE,8/22,National Bao Day,,,,,,,
FALSE,8/22,National Pecan Torte Day,,,,,,,
TRUE,8/22,World Plant Milk Day,,,,,,,
TRUE,8/23,National Cuban Sandwich Day,,,,,,,
TRUE,8/23,National Sponge Cake Day,,,,,,,
TRUE,8/24,National Knife Day,,,,,,,
TRUE,8/24,National Waffle Day,,,,,,,
TRUE,8/25,National Banana Split Day,,,,,,,
TRUE,8/25,National Burger Day,,,,,,,
TRUE,8/25,National Whiskey Sour Day,,,,,,,
TRUE,8/26,National Cherry Popsicle Day,,,,,,,
TRUE,8/27,National Pots de Creme Day,,,,,,,
TRUE,8/28,Crackers Over the Keyboard Day,,,,,,,
FALSE,8/28,National Cherry Turnovers Day,,,,,,,
TRUE,8/28,National Red Wine Day,,,,,,,
TRUE,8/29,"More Herbs, Less Salt Day",,,,,,,
TRUE,8/29,National Chop Suey Day,,,,,,,
TRUE,8/29,National Lemon Juice Day,,,,,,,
TRUE,8/30,International Cabernet Sauvignon Day,,,,,,,
TRUE,8/30,National Toasted Marshmallow Day,,,,,,,
TRUE,8/31,Eat Outside Day,,,,,,,
TRUE,8/31,National Trail Mix Day,,,,,,,
TRUE,9/1,Better Breakfast Month,,,,,,,
TRUE,9/1,Bourbon Heritage Month,,,,,,,
FALSE,9/1,Cherry Popover Day,,,,,,,
TRUE,9/1,Chicken Boy Day,,,,,,,
TRUE,9/1,International Cabernet Day,,,,,,,
TRUE,9/1,National Honey Month,,,,,,,
TRUE,9/1,National Organic Month,,,,,,,
FALSE,9/1,National Papaya Month,,,,,,,
TRUE,9/1,National Tofu Day,,,,,,,
TRUE,9/1,Sourdough September,,,,,,,
TRUE,9/2,National Blueberry Popsicle Day,,,,,,,
TRUE,9/2,National Chianti Day,,,,,,,
TRUE,9/2,National Food Bank Day,,,,,,,
TRUE,9/2,World Coconut Day,,,,,,,
TRUE,9/3,International Bacon Day,,,,,,,
TRUE,9/3,National Welsh Rarebit Day,,,,,,,
TRUE,9/4,Eat an Extra Dessert Day,,,,,,,
FALSE,9/4,National Macadamia Nut Day,,,,,,,
TRUE,9/4,National Waffle Week,,,,,,,
TRUE,9/5,(National) Cheese Pizza Day,,,,,,,
TRUE,9/6,Great Egg Toss Day,,,,,,,
TRUE,9/6,National Coffee Ice Cream Day,,,,,,,
TRUE,9/7,National Acorn Squash Day,,,,,,,
TRUE,9/7,National Beer Lover's Day,,,,,,,
TRUE,9/7,National Salami Day,,,,,,,
TRUE,9/9,International Box Wine Day,,,,,,,
TRUE,9/9,National Wiener Schnitzel Day,,,,,,,House
TRUE,9/9,Steak au Poivre Day,,,,,,,
TRUE,9/10,Farmers Consumers Awareness Day,,,,,,,
TRUE,9/10,National TV Dinner Day,,,,,,,
FALSE,9/11,National Hot Cross Bun Day,,,,,,,
TRUE,9/12,National Chocolate Milkshake Day,,,,,,,
TRUE,9/13,International Chocolate Day,,,,,,,
TRUE,9/13,National Ants on a Log Day,,,,,,,
TRUE,9/13,National Kids Take Over the Kitchen Day,,,,,,,
TRUE,9/13,National Peanut Day,,,,,,,
FALSE,9/14,National Gobstopper Day,,,,,,,
FALSE,9/14,National Eat a Hoagie Day,,,,,,,
TRUE,9/14,National Food is Medicine Day,,,,,,,
TRUE,9/14,National Sober Day,,,,,,,
TRUE,9/15,National Cheese Toast Day,,,,,,,
TRUE,9/15,National Creme de Menthe Day,,,,,,,
TRUE,9/15,National Double Cheeseburger Day,,,,,,,
TRUE,9/15,National Linguine Day,,,,,,,
TRUE,9/15,National PawPaw Day,,,,,,,
TRUE,9/16,Choose Your Chocolate Day,,,,,,,
FALSE,9/16,National Cinnamon Raisin Bread Day,,,,,,,
TRUE,9/16,National Guacamole Day,,,,,,,
TRUE,9/17,British Food Fortnight,,,,,,,
TRUE,9/17,International Eat an Apple Day,,,,,,,
TRUE,9/17,International Grenache Day,,,,,,,
TRUE,9/17,National Apple Dumpling Day,,,,,,,
FALSE,9/17,National Monte Cristo Day,,,,,,,
TRUE,9/17,Oktoberfest,,,,,,,
TRUE,9/18,National Cheeseburger Day,,,,,,,
FALSE,9/18,National Rice Krispie Treat Day,,,,,,,
FALSE,9/19,National Butterscotch Pudding Day,,,,,,,
TRUE,9/20,National Fried Rice Day,,,,,,,
FALSE,9/20,National Pepperoni Pizza Day,,,,,,,
TRUE,9/20,National Punch Day,,,,,,,
TRUE,9/20,National Queso Day,,,,,,,
TRUE,9/20,National String Cheese Day,,,,,,,
FALSE,9/21,National Chai Day,,,,,,,
FALSE,9/21,National Pecan Cookie Day,,,,,,,
TRUE,9/22,National Ice Cream Cone Day,,,,,,,
FALSE,9/22,National White Chocolate Day,,,,,,,
TRUE,9/23,National Apple Cider Vinegar Day,,,,,,,
TRUE,9/23,National Baker Day,,,,,,,
TRUE,9/23,National Great American Pot Pie Day,,,,,,,
TRUE,9/23,National Snack Stick Day,,,,,,,
TRUE,9/23,Ontario Garlic Week,,,,,,,
TRUE,9/23,Seed Gathering Season,,,,,,,
FALSE,9/23,Za'atar Day,,,,,,,
FALSE,9/24,National Cherries Jubilee Day,,,,,,,
FALSE,9/24,National Horchata Day,,,,,,,
FALSE,9/24,National Mofongo Day,,,,,,,
TRUE,9/25,German Butterbrot Day,,,,,,,
TRUE,9/25,National Cooking Day,,,,,,,
TRUE,9/25,National Food Service Employee Day,,,,,,,
TRUE,9/25,National Lobster Day,,,,,,,
TRUE,9/25,National Quesadilla Day,,,,,,,
TRUE,9/26,Better Breakfast Day,,,,,,,
FALSE,9/26,National Chimichanga Day,,,,,,,
TRUE,9/26,National Dumpling Day,,,,,,,
FALSE,9/26,National Pancake Day,,,,,,,
TRUE,9/27,National Chocolate Milk Day,,,,,,,
FALSE,9/27,National Corned Beef Hash Day,,,,,,,
FALSE,9/27,National Crush a Can Day,,,,,,,
TRUE,9/28,International Poke Day,,,,,,,
TRUE,9/28,National Drink Beer Day,,,,,,,
FALSE,9/28,National Strawberry Cream Pie Day,,,,,,,
TRUE,9/29,International Day of Awareness of Food Loss and Waste,,,,,,,
FALSE,9/29,National Biscotti Day,,,,,,,
TRUE,9/29,National Coffee Day,,,,,,,
TRUE,9/30,Extra Virgin Olive Oil Day,,,,,,,
TRUE,9/30,German Sandwich Day,,,,,,,
FALSE,9/30,National Chewing Gum Day,,,,,,,
FALSE,9/30,National Hot Mulled Cider Day,,,,,,,
TRUE,9/30,World's Biggest Coffee Morning,,,,,,,
TRUE,10/1,International Coffee Day,,,,,,,
TRUE,10/1,National Homemade Cookies Day,,,,,,,
TRUE,10/1,Wine Day (Day 1),,,,,,,
FALSE,10/1,World Sake Day,,,,,,,
TRUE,10/1,World Vegetarian Day,,,,,,,
TRUE,10/2,Harvest Festival (Germany),,,,,,,
FALSE,10/2,National Fried Scallops Day,,,,,,,
TRUE,10/2,National Produce Misting Day,,,,,,,
TRUE,10/3,American Cheese Month,,,,,,,
TRUE,10/3,"Eat Better, Eat Together Month",,,,,,,
TRUE,10/3,Fair Trade Month,,,,,,,
FALSE,10/4,National Cinnamon Roll Day,,,,,,,
TRUE,10/4,National Fruit at Work Day,,,,,,,
TRUE,10/4,National Taco Day,,,,,,,
TRUE,10/4,National Vodka Day,,,,,,,
FALSE,10/5,National Apple Betty Day,,,,,,,
FALSE,10/5,National Kale Day,,,,,,,
TRUE,10/5,National Pumpkin Seed Day,,,,,,,
TRUE,10/6,National Apple Month,,,,,,,
TRUE,10/6,National Noodle Day,,,,,,,
TRUE,10/6,National Orange Wine Day,,,,,,,
TRUE,10/7,National Chili Month,,,,,,,
TRUE,10/7,National Cookbook Month,,,,,,,
FALSE,10/7,National Frappe Day,,,,,,,
FALSE,10/8,National Fluffernutter Day,,,,,,,
FALSE,10/8,National Pierogi Day,,,,,,,
TRUE,10/8,National Salmon Day,,,,,,,
TRUE,10/9,International Beer and Pizza Day,,,,,,,
TRUE,10/9,National Cookie Month,,,,,,,
TRUE,10/9,National Moldy Cheese Day,,,,,,,
FALSE,10/10,Curacao Day,,,,,,,
FALSE,10/10,National Angel Food Cake Day,,,,,,,
FALSE,10/10,National Cake Decorating Day,,,,,,,
TRUE,10/10,National Curry Week,,,,,,,
FALSE,10/10,World Plant-Based Burger Day,,,,,,,
TRUE,10/10,World Porridge Day,,,,,,,
TRUE,10/11,National Dessert Month,,,,,,,
FALSE,10/11,National Sausage Pizza Day,,,,,,,
TRUE,10/11,Southern Food Heritage Day,,,,,,,
TRUE,10/12,(National) Farmer's Day,,,,,,,
TRUE,10/12,National Gumbo Day,,,,,,,
TRUE,10/12,National Pulled Pork Day,,,,,,,
TRUE,10/13,National M&M Day,,,,,,,
TRUE,10/13,National Pasta Month,,,,,,,
FALSE,10/13,National Yorkshire Pudding Day,,,,,,,
TRUE,10/14,National Baking Week,,,,,,,
TRUE,10/14,National Dessert Day,,,,,,,
TRUE,10/14,World Egg Day,,,,,,,
TRUE,10/15,Cayenne Festival,,,,,,,
FALSE,10/15,National Cheese Curd Day,,,,,,,
FALSE,10/15,National Lemon Bar Day,,,,,,,
TRUE,10/15,National Mushroom Day,,,,,,,
FALSE,10/15,National Roast Pheasant Day,,,,,,,
TRUE,10/15,Sweetest Day,,,,,,,
TRUE,10/16,National Liqueur Day,,,,,,,
TRUE,10/16,National Pescetarian Month,,,,,,,
TRUE,10/16,World Food Day,,,,,,,
TRUE,10/17,National Pasta Day,,,,,,,
FALSE,10/17,National Pickled Peppers Month,,,,,,,
TRUE,10/17,UK Coffee Week,,,,,,,
FALSE,10/18,National Chocolate Cupcake Day,,,,,,,
TRUE,10/18,National Mashed Potato Day,,,,,,,
TRUE,10/18,National Pizza Month,,,,,,,
TRUE,10/19,National Pretzel Month,,,,,,,
TRUE,10/19,National Sausage Month,,,,,,,
FALSE,10/19,National Seafood Bisque Day,,,,,,,
TRUE,10/20,International Chefs Day,,,,,,,
FALSE,10/20,National Brandied Fruit Day,,,,,,,
TRUE,10/20,Vegetarian Month,,,,,,,
TRUE,10/21,(National) Apple Day,,,,,,,
TRUE,10/21,International Day of the Nacho,,,,,,,
TRUE,10/21,National Pumpkin Cheesecake Day,,,,,,,
FALSE,10/22,National Caramel Month,,,,,,,
TRUE,10/22,National Nut Day,,,,,,,
FALSE,10/23,National Boston Cream Pie Day,,,,,,,
FALSE,10/24,National Bologna Day,,,,,,,
TRUE,10/24,National Food Day,,,,,,,
FALSE,10/24,National Jamaican Jerk Day,,,,,,,
FALSE,10/24,World Tripe Day,,,,,,,
TRUE,10/25,National Greasy Food(s) Day,,,,,,,
TRUE,10/25,Sourest Day,,,,,,,
TRUE,10/25,World Pasta Day,,,,,,,
FALSE,10/26,National Chicken Fried Steak Day,,,,,,,
FALSE,10/26,National Mincemeat Day,,,,,,,
TRUE,10/26,National Pumpkin Day,,,,,,,
TRUE,10/27,National American Beer Day,,,,,,,
TRUE,10/28,Global Champagne Day,,,,,,,
TRUE,10/28,National Breadstick Day,,,,,,,
TRUE,10/28,National Chocolate Day,,,,,,,
TRUE,10/28,Wild Foods Day,,,,,,,
FALSE,10/29,National Oatmeal Day,,,,,,,
TRUE,10/30,Haunted Refrigerator Night,,,,,,,
TRUE,10/30,National Candy Corn Day,,,,,,,
FALSE,10/31,National Caramel Apple Day,,,,,,,
FALSE,11/1,National Calzone Day,,,,,,,
FALSE,11/1,National Cinnamon Day,,,,,,,
TRUE,11/1,National Cook For Your Pets Day,,,,,,,
FALSE,11/1,National Deep Fried Clams Day,,,,,,,
FALSE,11/1,National Fig Week,,,,,,,
TRUE,11/1,National Men Make Dinner Day,,,,,,,
FALSE,11/1,National Vinegar Day,,,,,,,
FALSE,11/1,Pate Day,,,,,,,
TRUE,11/1,World Vegan Day,,,,,,,
TRUE,11/2,Banana Pudding Lovers Month,,,,,,,
TRUE,11/2,Gluten-Free Diet Awareness Month,,,,,,,
FALSE,11/2,National Deviled Egg Day,,,,,,,
FALSE,11/3,International Stout Day,,,,,,,
TRUE,11/3,National Men Make Dinner Day,,,,,,,
TRUE,11/3,National Sandwich Day,,,,,,,
TRUE,11/4,National Candy Day,,,,,,,
TRUE,11/4,National Chicken Lady Day,,,,,,,
TRUE,11/4,National Easy Bake Oven Day,,,,,,,
FALSE,11/4,Roast Dinner Day,,,,,,,
FALSE,11/5,National Bison Day,,,,,,,
FALSE,11/5,National Chinese Takeout Day,,,,,,,
FALSE,11/5,National Doughnut Day,,,,,,,
FALSE,11/6,National Nachos Day,,,,,,,
FALSE,11/6,National Pepper Month,,,,,,,
FALSE,11/6,National Pomegranate Month,,,,,,,
FALSE,11/7,National Bittersweet Chocolate with Almonds Day,,,,,,,
FALSE,11/7,National Raisin Bread Month,,,,,,,
TRUE,11/7,National Rice Awareness Month,,,,,,,
TRUE,11/8,Cook Something Bold and Pungent Day,,,,,,,
FALSE,11/8,National Cappuccino Day,,,,,,,
FALSE,11/8,National Harvey Wallbanger Day,,,,,,,
FALSE,11/9,British Pudding Day,,,,,,,
FALSE,11/9,National Fried Chicken Sandwich Day,,,,,,,
FALSE,11/9,National Scrapple Day,,,,,,,
FALSE,11/10,National Fun with Fondue Month,,,,,,,
FALSE,11/10,National Vanilla Cupcake Day,,,,,,,
FALSE,11/10,Tempranillo Day,,,,,,,
FALSE,11/11,National Peanut Butter Lovers Month,,,,,,,
FALSE,11/11,National Sundae Day,,,,,,,
FALSE,11/11,Pocky Day,,,,,,,
FALSE,11/12,(National) Happy Hour (Day),,,,,,,
FALSE,11/12,National Chicken Soup for the Soul Day,,,,,,,
FALSE,11/12,National French Dip Day,,,,,,,
FALSE,11/12,National Pizza with the Works Except Anchovies Day,,,,,,,
FALSE,11/13,Harvest Festival,,,,,,,
FALSE,11/13,National Indian Pudding Day,,,,,,,
FALSE,11/13,National Pupusa Day,,,,,,,
FALSE,11/13,National Split Pea Soup Week,,,,,,,
FALSE,11/14,(National) Pickle Day,,,,,,,
FALSE,11/14,National Roasting Month,,,,,,,
FALSE,11/14,National Spicy Guacamole Day,,,,,,,
FALSE,11/15,National Bundt (Pan) Day,,,,,,,
FALSE,11/15,National Clean Out Your Refrigerator Day,,,,,,,
FALSE,11/15,National Raisin Bran Cereal Day,,,,,,,
FALSE,11/15,National Spicy Hermit Cookie Day,,,,,,,
FALSE,11/15,Pack Your Mom's Lunch Day,,,,,,,
FALSE,11/16,(National) Fast Food Day,,,,,,,
FALSE,11/16,National Farm-City Week,,,,,,,
FALSE,11/17,Beaujoulais Nouveaux Day,,,,,,,
FALSE,11/17,Great American Smokeout,,,,,,,
FALSE,11/17,National Baklava Day,,,,,,,
FALSE,11/17,National Homemade Bread Day,,,,,,,
FALSE,11/17,Zinfandel Day,,,,,,,
FALSE,11/18,Apple Cider Day,,,,,,,
FALSE,11/18,National Vichysoisse Day,,,,,,,
FALSE,11/19,National Carbonated Beverage with Caffeine Day,,,,,,,
FALSE,11/20,National Peanut Butter Fudge Day,,,,,,,
FALSE,11/21,National Gingerbread Cookie Day,,,,,,,
FALSE,11/21,National Stuffing Day,,,,,,,
FALSE,11/22,National Cranberry Relish Day,,,,,,,
FALSE,11/23,(National) Eat a Cranberry Day,,,,,,,
FALSE,11/24,DrinksGiving,,,,,,,
FALSE,11/24,National Cashew Day,,,,,,,
FALSE,11/24,National Espresso Day,,,,,,,
FALSE,11/24,National Sardines Day,,,,,,,
FALSE,11/25,Maize Day,,,,,,,
FALSE,11/25,National Parfait Day,,,,,,,
FALSE,11/26,International Cake Day,,,,,,,
FALSE,11/26,National Cake Day,,,,,,,
FALSE,11/27,Harvest Festival,,,,,,,
FALSE,11/27,National Bavarian Cream Pie Day,,,,,,,
FALSE,11/27,National Craft Jerky Day,,,,,,,
FALSE,11/28,National French Toast Day,,,,,,,
FALSE,11/29,National Lemon Cream Pie Day,,,,,,,
FALSE,11/29,Throw Out Your Leftovers Day,,,,,,,
FALSE,11/30,National Mason Jar Day,,,,,,,
FALSE,12/1,National Cookie Cutter Day,,,,,,,
FALSE,12/1,National Cookie Cutter Week,,,,,,,
FALSE,12/1,National Eat a Red Apple Day,,,,,,,
FALSE,12/1,Peppermint Bark Day,,,,,,,
FALSE,12/1,National Pie Day,,,,,,,
FALSE,12/2,Business of Popping Corn Day,,,,,,,
FALSE,12/2,National Bartender Day,,,,,,,
FALSE,12/2,National Fritters Day,,,,,,,
FALSE,12/3,Bartender Appreciation Day,,,,,,,
FALSE,12/3,National Green Bean Casserole Day,,,,,,,
FALSE,12/3,National Rhubarb Vodka Day,,,,,,,
FALSE,12/4,Cabernet Franc Day,,,,,,,
FALSE,12/4,National Cookie Day,,,,,,,
FALSE,12/4,Worldwide Food Service Safety Month,,,,,,,
FALSE,12/5,(National) Sacher Torte Day,,,,,,,
FALSE,12/6,National Gazpacho Day,,,,,,,
FALSE,12/6,National Microwave Oven Day,,,,,,,
FALSE,12/7,National Cotton Candy Day,,,,,,,
FALSE,12/8,Lard Day,,,,,,,
FALSE,12/8,National Brownie Day,,,,,,,
FALSE,12/9,National Opal Apples Day,,,,,,,
FALSE,12/9,National Pastry Day,,,,,,,
FALSE,12/10,National Lager Day,,,,,,,
FALSE,12/11,(National) Noodle Ring Day,,,,,,,
FALSE,12/11,Holiday Food Drive for the Needy Animals Day,,,,,,,
FALSE,12/12,National Gingerbread House Day,,,,,,,
FALSE,12/12,Gingerbread Decorating Day,,,,,,,
FALSE,12/12,National Ambrosia Day,,,,,,,
FALSE,12/13,National Cocoa Day,,,,,,,
FALSE,12/13,National Cream Cheese Frosting Day,,,,,,,
FALSE,12/13,National Ice Cream Day,,,,,,,
FALSE,12/14,National Bouillabaise Day,,,,,,,
FALSE,12/14,Roast Chestnuts Day,,,,,,,
FALSE,12/15,(National) Lemon Cupcake Day,,,,,,,
FALSE,12/15,International Tea Day,,,,,,,
FALSE,12/15,National Cupcake Day,,,,,,,
FALSE,12/16,National Chocolate Covered Anything Day,,,,,,,
FALSE,12/17,Canadian Maple Syrup Day,,,,,,,
FALSE,12/17,National Maple Syrup Day,,,,,,,
FALSE,12/18,Bake Cookies Day,,,,,,,
FALSE,12/18,National Roast Suckling Pig Day,,,,,,,
FALSE,12/19,National Hard Candy Day,,,,,,,
FALSE,12/19,National Oatmeal Muffin Day,,,,,,,
FALSE,12/20,National Sangria Day,,,,,,,
FALSE,12/21,National Armagnac Day,,,,,,,
FALSE,12/21,National Coquito Day,,,,,,,
FALSE,12/21,National French Fried Shrimp Day,,,,,,,
FALSE,12/22,National Cookie Exchange Day,,,,,,,
FALSE,12/22,National Date Nut Bread Day,,,,,,,
FALSE,12/23,National Pfefernusse Day,,,,,,,
FALSE,12/24,National Eggnog Day,,,,,,,
FALSE,12/25,National Pumpkin Pie Day,,,,,,,
FALSE,12/26,National Candy Cane Day,,,,,,,
FALSE,12/27,National Fruitcake Day,,,,,,,
FALSE,12/28,National Chocolate Candy Day,,,,,,,
FALSE,12/29,National Pepper Pot Day,,,,,,,
FALSE,12/30,National Bacon Day,,,,,,,
FALSE,12/30,National Bicarbonate of Soda Day,,,,,,,
FALSE,12/31,National Champagne Day,,,,,,,